,hash_size,table_number,index,local_cyber,server_calculation,local_recover
0,8,3,0,10.99800777,0.010998249,0.00706172
1,8,3,1,11.10358357,0.018422604,0.006932497
2,8,3,2,10.95856071,0.010511398,0.006587982
3,8,3,3,11.23139262,0.010326624,0.006807089
4,8,3,4,11.0831666,0.010343313,0.006745338
5,8,3,5,11.0868175,0.010730028,0.00658536
6,8,3,6,11.03754377,0.010293007,0.00662756
7,8,3,7,10.99350715,0.010464907,0.007112265
8,8,3,8,10.98535776,0.010415554,0.007512569
9,8,3,9,11.04077768,0.010447741,0.006869078
170,16,3,0,10.64816785,0.022996902,0.011070728
171,16,3,1,10.85279584,0.020580769,0.011705875
172,16,3,2,10.97652864,0.021740913,0.011767387
173,16,3,3,10.87280965,0.021618128,0.01244688
174,16,3,4,10.91061759,0.021089315,0.012349606
175,16,3,5,11.00710607,0.021842957,0.013225555
176,16,3,6,11.04819775,0.022589207,0.013332605
177,16,3,7,11.17415476,0.021670818,0.013154745
178,16,3,8,10.4525609,0.020204782,0.011172771
179,16,3,9,9.994845152,0.021727085,0.012250662
200,24,3,0,10.10205984,0.022906303,0.013162136
201,24,3,1,9.978471279,0.022863626,0.013112068
202,24,3,2,9.851402521,0.039205313,0.012845039
203,24,3,3,9.941277742,0.023238897,0.0130229
204,24,3,4,10.52304626,0.025407553,0.013520956
205,24,3,5,11.04579091,0.023927212,0.013660669
206,24,3,6,11.13030839,0.025058746,0.014174938
207,24,3,7,10.83408618,0.024407387,0.013304472
208,24,3,8,10.85615826,0.024569273,0.013768435
209,24,3,9,10.95449805,0.025134802,0.014307022
230,32,3,0,9.99262166,0.025419235,0.020891905
231,32,3,1,10.12811399,0.025704861,0.015858889
232,32,3,2,10.11527872,0.02587986,0.017577648
233,32,3,3,10.11112761,0.025616169,0.015668869
234,32,3,4,10.38385201,0.046465635,0.018263817
235,32,3,5,10.76369667,0.025495291,0.015748978
236,32,3,6,10.93061757,0.028257132,0.018668175
237,32,3,7,10.95653081,0.030142784,0.016739607
238,32,3,8,10.84697318,0.028352499,0.015778303
239,32,3,9,10.78452516,0.025484324,0.015924454
355,40,3,0,10.31061411,0.029349804,0.014404535
356,40,3,1,10.0248189,0.028719187,0.014431715
357,40,3,2,10.16542935,0.028731108,0.014129162
358,40,3,3,9.961830854,0.037157536,0.014365673
359,40,3,4,9.948367834,0.050287724,0.014616013
360,40,3,5,10.05511165,0.030174017,0.014494896
361,40,3,6,9.926079988,0.029301405,0.015033722
362,40,3,7,10.33742499,0.032399178,0.014841795
363,40,3,8,10.93032265,0.028507948,0.015018702
364,40,3,9,10.88583612,0.02946806,0.015033484
395,48,3,0,10.22228575,0.042096138,0.016344309
396,48,3,1,10.17208886,0.031921387,0.025087833
397,48,3,2,10.08503199,0.03182435,0.015954256
398,48,3,3,10.00944901,0.032458782,0.015940905
